resultCount,results
11,"{'wrapperType': 'collection', 'collectionType': 'Album', 'artistId': 112018, 'collectionId': 1413920644, 'amgArtistId': 5034, 'artistName': 'Nirvana', 'collectionName': 'Nirvana', 'collectionCensoredName': 'Nirvana', 'artistViewUrl': 'https://music.apple.com/us/artist/nirvana/112018?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/nirvana/1413920644?uo=4', 'artworkUrl60': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/60x60bb.jpg', 'artworkUrl100': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/100x100bb.jpg', 'collectionPrice': 9.99, 'collectionExplicitness': 'notExplicit', 'trackCount': 14, 'copyright': 'A Geffen Records Release; ℗ 2002 UMG Recordings, Inc.', 'country': 'USA', 'currency': 'USD', 'releaseDate': '2002-10-29T08:00:00Z', 'primaryGenreName': 'Alternative'}"
11,"{'wrapperType': 'track', 'kind': 'song', 'artistId': 112018, 'collectionId': 1413920644, 'trackId': 1413920646, 'artistName': 'Nirvana', 'collectionName': 'Nirvana', 'trackName': ""You Know You're Right"", 'collectionCensoredName': 'Nirvana', 'trackCensoredName': ""You Know You're Right"", 'artistViewUrl': 'https://music.apple.com/us/artist/nirvana/112018?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/you-know-youre-right/1413920644?i=1413920646&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/you-know-youre-right/1413920644?i=1413920646&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/75/c1/4f/75c14fe0-6122-79bb-81e4-3bdc0c05f9ce/mzaf_4840533120969028718.plus.aac.p.m4a', 'artworkUrl30': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/30x30bb.jpg', 'artworkUrl60': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/60x60bb.jpg', 'artworkUrl100': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/100x100bb.jpg', 'collectionPrice': 9.99, 'trackPrice': 1.29, 'releaseDate': '2002-10-08T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 14, 'trackNumber': 1, 'trackTimeMillis': 217000, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Alternative', 'isStreamable': True}"
11,"{'wrapperType': 'track', 'kind': 'song', 'artistId': 112018, 'collectionId': 1413920644, 'trackId': 1413920650, 'artistName': 'Nirvana', 'collectionName': 'Nirvana', 'trackName': 'About a Girl', 'collectionCensoredName': 'Nirvana', 'trackCensoredName': 'About a Girl', 'artistViewUrl': 'https://music.apple.com/us/artist/nirvana/112018?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/about-a-girl/1413920644?i=1413920650&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/about-a-girl/1413920644?i=1413920650&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/aa/cc/41/aacc4187-a0e2-8b49-fc35-f6a08946075d/mzaf_8371260319257665583.plus.aac.p.m4a', 'artworkUrl30': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/30x30bb.jpg', 'artworkUrl60': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/60x60bb.jpg', 'artworkUrl100': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/100x100bb.jpg', 'collectionPrice': 9.99, 'trackPrice': 1.29, 'releaseDate': '1989-06-15T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 14, 'trackNumber': 2, 'trackTimeMillis': 166640, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Alternative', 'isStreamable': True}"
11,"{'wrapperType': 'track', 'kind': 'song', 'artistId': 112018, 'collectionId': 1413920644, 'trackId': 1413921134, 'artistName': 'Nirvana', 'collectionName': 'Nirvana', 'trackName': 'Been a Son', 'collectionCensoredName': 'Nirvana', 'trackCensoredName': 'Been a Son (Blew EP Version)', 'artistViewUrl': 'https://music.apple.com/us/artist/nirvana/112018?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/been-a-son-blew-ep-version/1413920644?i=1413921134&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/been-a-son-blew-ep-version/1413920644?i=1413921134&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5e/2a/1d/5e2a1d40-a527-f28e-f48a-cd8709d0bb65/mzaf_11802512661123770749.plus.aac.p.m4a', 'artworkUrl30': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/30x30bb.jpg', 'artworkUrl60': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/60x60bb.jpg', 'artworkUrl100': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/100x100bb.jpg', 'collectionPrice': 9.99, 'trackPrice': 1.29, 'releaseDate': '1989-12-01T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 14, 'trackNumber': 3, 'trackTimeMillis': 140787, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Alternative', 'isStreamable': True}"
11,"{'wrapperType': 'track', 'kind': 'song', 'artistId': 112018, 'collectionId': 1413920644, 'trackId': 1413921135, 'artistName': 'Nirvana', 'collectionName': 'Nirvana', 'trackName': 'Sliver', 'collectionCensoredName': 'Nirvana', 'trackCensoredName': 'Sliver', 'artistViewUrl': 'https://music.apple.com/us/artist/nirvana/112018?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/sliver/1413920644?i=1413921135&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/sliver/1413920644?i=1413921135&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b6/f8/ed/b6f8ed67-8d47-c3fd-fbbe-0e846ef5747f/mzaf_8035025223783615163.plus.aac.p.m4a', 'artworkUrl30': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/30x30bb.jpg', 'artworkUrl60': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/60x60bb.jpg', 'artworkUrl100': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/100x100bb.jpg', 'collectionPrice': 9.99, 'trackPrice': 1.29, 'releaseDate': '1990-09-01T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 14, 'trackNumber': 4, 'trackTimeMillis': 131120, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Alternative', 'isStreamable': True}"
11,"{'wrapperType': 'track', 'kind': 'song', 'artistId': 112018, 'collectionId': 1413920644, 'trackId': 1413921155, 'artistName': 'Nirvana', 'collectionName': 'Nirvana', 'trackName': 'Smells Like Teen Spirit', 'collectionCensoredName': 'Nirvana', 'trackCensoredName': 'Smells Like Teen Spirit', 'artistViewUrl': 'https://music.apple.com/us/artist/nirvana/112018?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/smells-like-teen-spirit/1413920644?i=1413921155&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/smells-like-teen-spirit/1413920644?i=1413921155&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/44/8d/b2/448db2c4-5185-9eb5-66c2-d1e7182687ad/mzaf_14615718485326206820.plus.aac.p.m4a', 'artworkUrl30': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/30x30bb.jpg', 'artworkUrl60': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/60x60bb.jpg', 'artworkUrl100': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/100x100bb.jpg', 'collectionPrice': 9.99, 'trackPrice': 1.29, 'releaseDate': '1991-09-10T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 14, 'trackNumber': 5, 'trackTimeMillis': 301453, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Alternative', 'isStreamable': True}"
11,"{'wrapperType': 'track', 'kind': 'song', 'artistId': 112018, 'collectionId': 1413920644, 'trackId': 1413921156, 'artistName': 'Nirvana', 'collectionName': 'Nirvana', 'trackName': 'Come As You Are', 'collectionCensoredName': 'Nirvana', 'trackCensoredName': 'Come As You Are', 'artistViewUrl': 'https://music.apple.com/us/artist/nirvana/112018?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/come-as-you-are/1413920644?i=1413921156&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/come-as-you-are/1413920644?i=1413921156&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a0/88/5b/a0885b67-0fef-6a07-d5f9-fcf64036498e/mzaf_2185109084323033765.plus.aac.p.m4a', 'artworkUrl30': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/30x30bb.jpg', 'artworkUrl60': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/60x60bb.jpg', 'artworkUrl100': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/100x100bb.jpg', 'collectionPrice': 9.99, 'trackPrice': 1.29, 'releaseDate': '1991-09-24T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 14, 'trackNumber': 6, 'trackTimeMillis': 219040, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Alternative', 'isStreamable': True}"
11,"{'wrapperType': 'track', 'kind': 'song', 'artistId': 112018, 'collectionId': 1413920644, 'trackId': 1413921158, 'artistName': 'Nirvana', 'collectionName': 'Nirvana', 'trackName': 'Lithium', 'collectionCensoredName': 'Nirvana', 'trackCensoredName': 'Lithium', 'artistViewUrl': 'https://music.apple.com/us/artist/nirvana/112018?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/lithium/1413920644?i=1413921158&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/lithium/1413920644?i=1413921158&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/12/8b/4f/128b4fcc-23e5-72c5-9a3a-8cd4477dd405/mzaf_5850404998451419405.plus.aac.p.m4a', 'artworkUrl30': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/30x30bb.jpg', 'artworkUrl60': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/60x60bb.jpg', 'artworkUrl100': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/100x100bb.jpg', 'collectionPrice': 9.99, 'trackPrice': 1.29, 'releaseDate': '1991-09-24T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 14, 'trackNumber': 7, 'trackTimeMillis': 255213, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Alternative', 'isStreamable': True}"
11,"{'wrapperType': 'track', 'kind': 'song', 'artistId': 112018, 'collectionId': 1413920644, 'trackId': 1413921160, 'artistName': 'Nirvana', 'collectionName': 'Nirvana', 'trackName': 'In Bloom', 'collectionCensoredName': 'Nirvana', 'trackCensoredName': 'In Bloom (Nevermind Version)', 'artistViewUrl': 'https://music.apple.com/us/artist/nirvana/112018?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/in-bloom-nevermind-version/1413920644?i=1413921160&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/in-bloom-nevermind-version/1413920644?i=1413921160&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a7/9b/2b/a79b2b95-4097-be51-bc10-8fed878a78c8/mzaf_16008269998088464756.plus.aac.p.m4a', 'artworkUrl30': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/30x30bb.jpg', 'artworkUrl60': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/60x60bb.jpg', 'artworkUrl100': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/100x100bb.jpg', 'collectionPrice': 9.99, 'trackPrice': 1.29, 'releaseDate': '1991-09-24T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 14, 'trackNumber': 8, 'trackTimeMillis': 253307, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Alternative', 'isStreamable': True}"
11,"{'wrapperType': 'track', 'kind': 'song', 'artistId': 112018, 'collectionId': 1413920644, 'trackId': 1413921237, 'artistName': 'Nirvana', 'collectionName': 'Nirvana', 'trackName': 'Heart-Shaped Box', 'collectionCensoredName': 'Nirvana', 'trackCensoredName': 'Heart-Shaped Box', 'artistViewUrl': 'https://music.apple.com/us/artist/nirvana/112018?uo=4', 'collectionViewUrl': 'https://music.apple.com/us/album/heart-shaped-box/1413920644?i=1413921237&uo=4', 'trackViewUrl': 'https://music.apple.com/us/album/heart-shaped-box/1413920644?i=1413921237&uo=4', 'previewUrl': 'https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/03/bf/0d/03bf0d57-b5d2-a1b4-6f24-d41967a0d9d7/mzaf_7857380435210835605.plus.aac.p.m4a', 'artworkUrl30': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/30x30bb.jpg', 'artworkUrl60': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/60x60bb.jpg', 'artworkUrl100': 'https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/8d/58/a9/8d58a928-0663-71f7-4e5c-d2bd54a124fb/source/100x100bb.jpg', 'collectionPrice': 9.99, 'trackPrice': 1.29, 'releaseDate': '1993-08-30T12:00:00Z', 'collectionExplicitness': 'notExplicit', 'trackExplicitness': 'notExplicit', 'discCount': 1, 'discNumber': 1, 'trackCount': 14, 'trackNumber': 9, 'trackTimeMillis': 279187, 'country': 'USA', 'currency': 'USD', 'primaryGenreName': 'Alternative', 'isStreamable': True}"
